"id","image_id","title","teaser","description","duration","amount","price","created_at"
"b3f15229-33b8-11ef-a9aa-001dd8b71d59","c03500b0-33bb-11ef-a9aa-001dd8b71d59","Håndværker","Når vi en sjælden gang køber morgenbrød hos bageren, så skal jeg altid have en håndværker, fordi jeg elsker det tykke lag med blå birkes ovenpå. Jeg har faktisk aldrig tænkt på at bage håndværkere selv. Havde ligesom en forventning om, at det aldrig ville kunne blive ligeså godt som dem fra bageren. Til jul fik jeg Mette Blomsterberg nye bog “Blomsterbergs skønne klassikere” og den byder på flere opskrifter på morgenbrød. Så sidste weekend tænkte jeg, nu skal det være. Nu vil jeg prøve at bage håndværkere selv, og det blev en succes!
","Ingredienserne er ikke ligefrem noget, der vil ruinere dig. Tværtimod! Tænk på, at en håndværker koster ca 5 kr hos bageren, og det er egentlig en skandale, fordi de indeholder en bitte smule gær, vand, salt, mel og olie. Det kan højst koste dig en flad tier, at lave denne portion på 12-15 stk. Når de ovenikøbet bliver så gode, så er der ingen undskyldning for at servere hjemmebragt brød mere.

Vær opmærksom på at dejen skal koldthæve i køleskab i ca 8-10 timer.

Smuldr gæren i en skålen – brug gerne en røremaskine – Tilsæt det kolde vand og opløs gæren. Start med at tilsætte salt og KUN 350 g hvedemel i første omgang. Her vil du sikkert opleve, at dejen er meget flydende. Rør olien i og tilsæt forsigtigt lidt mere mel. Jeg gjorde faktisk det, at jeg hældte dejen ud på køkkenbordet, for at være sikker på at dejen ikke fik for meget mel. Det er meget vigtigt, at dejen er let og smidig. Ellers risikerer man at få nogle hårde og tørre håndværkere. Så jeg æltede videre med hånden indtil dejen lige præcis var mættet. Den var stadig en smule klistret, og meget let. Der på smed jeg den ned i røremaskinen igen, og den æltede den i ca 5 min. Nu stiller du dejen i køleskabet, og lader den dejen hæve til næste morgen.

Nu tager du dejen ud af køleskabet, ælter den og tilsætter måske lidt mere mel, så den kan slippe bordet.  Nu ruller du den ud til en kvadrat med en tykkelse på 1½-2 cm. (Her stiller Blomsterberg så kvadraten i fryseren! Det gjorde jeg ikke. Det havde jeg ikke tid til, og forstod heller ikke hvorfor jeg skulle gøre det? Måske er der nogen af jer læsere, der kan lære mig hvorfor det er en god ide?) Jeg fik 13 stk. håndværkere ud af denne portion, og jeg synes de havde en perfekt størrelse. Pensl kvadraten godt med vand og drys en masse blå birkes på og skær med en skarp kniv håndværkerne ud. Stil dem til hævning på en bageplade tildækket i 1-1½ time. Bag dem på 200 grader varmluft eller 220 alm. ovn i 15-20 min.

Jeg havde et par stykker tilovers næste dag, og de var super gode efter en lille tur på brødristeren.

Sjovt nok, så jeg “Bagedysten” for første gang nogensinde i onsdags, og så var temaet brød. Det største problem for alle deltagerne var ifølge Blomsterberg, at de ikke havde brugt nok salt og for meget mel! Det er svært at bage, fordi der er så mange faktorer man ikke kan forudse. Nogen gange lykkes det overmåde godt, og andre gange står man med et usselt fladt og kedeligt brød. Men det er jo lige netop det der er sjovt og udfordrende, synes jeg. Når det så lykkes så godt, som de her håndværkere gjorde, så sværger jeg aldrig at købe bagerbrød mere (lige indtil næste gang jeg står i Lagkagehuset…).",75,20,12.00,"2018-08-14"
"b3f1547a-33b8-11ef-a9aa-001dd8b71d59","c03502f7-33bb-11ef-a9aa-001dd8b71d59","Morgenhorn","Det er sød musik for smagsløgene at bage hjemmelavede horn, prøv disse lækre morgenhorn.","Smelt smørret i en kasserolle eller i mikroovn. Tilsæt mælk, og hæld væsken over smuldret gær, salt og sukker. Tilsæt det meste af melet, og ælt dejen igennem. Lad den hæve ca. 40 min.

Ælt dejen let, og tril den til en kugle. Sigt mel ud over bordet og dejen, og tryk og rul den ud i en cirkel, der måler 50-55 cm i diameter. Tjek jævnligt, om den slipper bordet, eller om der skal mere mel til.

Del dejen i 16 kiler, og rul dem sammen. Sæt dem til efterhævning i ca. 40 min. på bagepapir på en bageplade. Pensl med sammenpisket æg, kom evt. lidt drys på, og bag hornene ved 220 gr. i ca. 13 min.",60,16,12.00,"2018-10-01"
"b3f154d5-33b8-11ef-a9aa-001dd8b71d59","c0350375-33bb-11ef-a9aa-001dd8b71d59","Blåbærsnitter med mandler og hvid chokolade","Snitter behøver ikke altid være med hindbær! Prøv bare dette bud på blåbærsnitter med mandler og hvid chokolade.","Smuldr smørret i hvedemel og mandelmel. Tilsæt hjortetaksalt, vaniljesukker, æggeblommer og flormelis. Saml dejen, og pak den ind i plastfilm. Lad den hvile 30 min. i køleskab.

Del dejen i to stykker. Hvert stykke udruller du til en rektangel 8 cm bred og 35 cm lang, dejen skal være ca. ½ cm tyk.

Læg den ene dejplade over på en plade med bagepapir. Fordel blåbærmarmelade over. Læg den anden dejplade over.

Bag kagen ved 180 gr. i ca. 20 min. på midterste ovnribbe.

Smelt chokolade og smør over vandbad, og pensl det på kagen.

Skær kagen i snitter.

Pynt med friske, skyllede og afdryppede blåbær. Afkøl snitterne.
",45,16,12.00,"2018-11-12"
"b3f1551a-33b8-11ef-a9aa-001dd8b71d59","c03503da-33bb-11ef-a9aa-001dd8b71d59","Mysliboller","Grove og søde på samme tid - her får du opskriften på lækre og saftige mysliboller med nødder, rosiner, dadler, havregryn og solsikkekerner.","Rør vand og mel sammen, og lad det stå tildækket på køkkenbordet 3-4 dage. Surdejen er derefter klar til brug.

Bland havregryn med speltflager, solsikkekerner, hakkede valnødder, rosiner og dadler.

Kom vand og surdej i en skål, og tilsæt salt, honning og mysliblandingen, og rør godt rundt.

Ælt nu hvedemel i lidt ad gangen, til dejen er glat og smidig. Stil dejen til hævning et lunt sted i ca. 2 timer.

Del dejen i 12 stykker, og form til boller. Læg dem på et stykke bagepapir, og lad dem efterhæve i ca. 1 time. 6.

Tænd ovnen på 225 gr., og lad en bageplade blive i ovnen. Træk forsigtigt boller og bagepapir over på den varme bageplade, og bag i ca. 20 min.

Afkøl bollerne på en bagerist.",20,12,12.00,"2018-12-04"
"b3f1555e-33b8-11ef-a9aa-001dd8b71d59","c035043b-33bb-11ef-a9aa-001dd8b71d59","Rugbrødsbolle","Lækre bløde rugbrødsboller med masser af gode frø og kerner.","Rør vand og mel sammen, og lad det stå tildækket på køkkenbordet 3-4 dage.

Rør kærnemælk med øl, surdej og sirup. Tilsæt salt, kakaopulver, kerner, frø og fuldkornsmel. Rør dejen godt – helst på en røremaskine, og tilsæt gradvist rugmel.

Fordel dejen i muffinforme, og stil på køl til næste dag.

Tag formen ud, og lad den stå på bordet ca. 1 time, inden bollerne bages ved 180 gr. i ca. 30 min.",30,14,12.00,"2018-12-12"
"b3f155a3-33b8-11ef-a9aa-001dd8b71d59","c0350498-33bb-11ef-a9aa-001dd8b71d59","Grove æblestykker","Perfekte til morgenbordet, i madpakken eller bare til at stille den lille sult. Her får du opskriften på lækre grovboller med æble, sirup og fuldkornsmel.","Hæld vand og yoghurt i en stor skål, og opløs gæren heri. Tilsæt salt, sirup og revet æble.

Rør først fuldkornsmel og dernæst hvedemel i dejen lidt ad gangen. Ælt dejen længe – gerne på en røremaskine.

Stil dejen tildækket et lunt sted, og lad den hæve til dobbelt størrelse.

Dyp en stor spiseske i koldt vand, og form dejen skødesløst til boller.

Fordel bollerne på to bageplader med bagepapir, og lad dem efterhæve ca. 30 min.

Tænd ovnen på 225 gr. Pensl overfladen med sammenpisket æg, og drys med birkes, frø etc.

Bag bollerne i ca. 15 min., til de er sprøde. Afkøl bollerne på en bagerist.",50,10,12.00,"2018-12-26"
"b3f155e6-33b8-11ef-a9aa-001dd8b71d59","c03504f3-33bb-11ef-a9aa-001dd8b71d59","Glutenfrit brød med havre","Det er anderledes at bage glutenfrit, for det er normalt melets gluten, der holder sammen på brødet og giver krummen struktur. Her bruger vi loppefrøskaller til at holde på luft og fugt i brødet.","Rør gæren ud i lunkent vand, tilsæt de øvrige ingredienser, og rør dejen godt sammen i 1-2 min. Dæk skålen løst med film, og lad dejen hvile ved stuetemperatur i 15 min.

Rør dejen godt igennem igen, og lad den igen hvile i 15 min. Sæt derefter dejen på køl indtil brug – eller brug den med det samme.

Form dejen til et brød. Brug våde hænder, og glat overfladen. Vend evt. brødet i havregryn eller frø og kerner, og læg det i en smurt form (2 liter).

Lad det hæve tildækket i ca. 1 time ved stuetemperatur – ca. 2 timer, hvis dejen er kold fra køleskabet.

Sæt en bageplade midt i ovnen, og en bradepande på nederste rille. Varm ovnen op til 250 grader/225 grader varmluft.

Sæt brødet i ovnen, og kast en kop vand i den varme bradepande. Luk ovnlågen, og bag i 15 min. Skru ned til 200 grader/180 grader varmluft, til skorpen er gyldenbrun og brødet er gennembagt (98 grader) ca. 30 min.

Vend brødet ud på en rist, og lad det køle helt af, før du skærer i det.

TIP: Skær evt. det afkølede brød i skiver, og frys det i små ”dagsportioner”. 
",60,1,12.00,"2018-12-30"
"b3f15626-33b8-11ef-a9aa-001dd8b71d59","c0350555-33bb-11ef-a9aa-001dd8b71d59","Morgenhorn med marcipan","Søde, lette og luftige er disse horn. De egner sig fint til frysning og kan derfor nemt lunes til morgenbordet.","Smelt smørret, tilsæt mælken, og tag gryden fra varmen. Når væsken er fingervarm, hældes den i dejskålen sammen med 1 æg og 1 æggeblomme (gem hviden).

Smuldret gær, sukker og salt tilsættes, og blandingen røres jævn.

Melet tilsættes gradvis, og dejen, der skal være temmelig lind, æltes igennem. Den hæver ca. 45 min, vendes ud på bordet og æltes let.

Rul dejen ud i en cirkel så stor som muligt, gerne i køkkenbordets bredde (55-60 cm).

Lad den hvile 5-10 min., inden den skæres i 16 kiler.

Marcipanen røres blød med halvdelen af den tiloversblevne æggehvide og røres jævn med sukkeret. En klat lægges på hver kile og de rulles sammen og lægges på pladen.

Hornene efterhæver ca. 30 min., pensles med resten af æggehviden, drysses med tesukker og bages ved 210 gr. i 12-14 min.",70,16,12.00,"2019-01-05"
"b3f15661-33b8-11ef-a9aa-001dd8b71d59","c03505b1-33bb-11ef-a9aa-001dd8b71d59","Hjemmebagte krydderboller","Velduftende hjemmebagte krydderboller smager bare rigtig godt og er perfekte på søndagsmorgenbordet.","Lun mælken, til den er fingervarm. Kom mælken i en skål, og udrør gæren heri. Rør æg, sukker og kardemomme i. Kom halvdelen af hvedemelet i, og ælt dejen godt, gerne på en køkkenmaskine 4-5 min. Lad dejen hvile 15. min.

Rør salt og det bløde smør i dejen. Tilsæt nu resten af hvedemelet, til dejen lige slipper skålens sider.

Kom 1 spsk. olie i en skål, og læg dejen heri. Vend dejen rundt, så den er dækket af et tyndt lag olie.

Dæk skålen med husholdningsfilm. Lad dejen hæve ca. 1 time.

Form 15 boller. Lad dem efterhæve tildækket med et rent klæde ca. 40 min.

Pensl med sammenpisket æg. Bag bollerne ca. 18 min. ved 200 gr.",18,15,12.00,"2019-01-23"
"b3f156a2-33b8-11ef-a9aa-001dd8b71d59","c035060a-33bb-11ef-a9aa-001dd8b71d59","Svenske snegle med kanel og kardemomme","Skønne kanelsnegle med masser af kanel og kardemomme - de lækre snaskede snegle smager næsten lige som de svenske kanelbullar.","Smelt smørret i en kasserolle, tilsæt mælken, og varm det op, til det er lunkent, ca. 37 grader. Tilsæt gæren og rør, til den er opløst.

Tilsæt ægget sammen med sukker, salt, kardemomme og to tredjedele af melet, og rør dejen glat. Arbejd det resterende mel i lidt ad gangen, og ælt grundigt, til du har en smidig og blank dej. Pas på med ikke at tilsætte yderligere mel – dejen vil samle sig og begynde at slippe kanterne, når du får æltet den godt.

Sæt dejen til hævning til dobbelt størrelse (det tager ca. 1½ time) i en skål med et fugtigt klæde over, og lav imens remoncen ved at røre smør, sukker og kanel sammen, til det er cremet i konsistensen.

Når dejen er færdighævet, tages den ud på bordet til endnu en hurtig omgang æltning. Dejen er færdigæltet, når den slipper både bord og hænder.

Tænd ovnen for 225 grader. Rul den derefter ud til et rektangel på ca. 25 x 40 cm og smør remoncen ud over. Rul dejen sammen på den lange side, og skær sneglene ud i ca. 3 cm tykkelse.

Læg dem med 2-3 cm imellem på en bradepande med bagepapir, og lad dem hæve under et klæde i 45 min, til de næsten rører hinanden. Pensl med et sammenpisket æg, og bag sneglene i 12-15 minutter, eller til de er gyldne og flotte at se på.

Lad dem køle ned til stuetemperatur, før du pynter dem med glasur eller bare serverer, dem helt som de er.",60,20,12.00,"2019-01-30"
